38464176,"24123 23rd Ave SE",Bothell,WA,98021,53061,SingleFamily,2015,609000.0,1971,52272,1704,2.0,3,04/25/2016,835000,568825,12/30/2016,228,517631,597266,0,Bothell
38464200,"23016 Echo Lake Rd",Snohomish,WA,98296,53061,SingleFamily,2015,277700.0,1966,30927,2001,3.0,4,03/17/2016,478000,488395,12/30/2016,4760,463975,512815,0,Snohomish
38465274,"4802 228th St SE",Bothell,WA,98021,53061,SingleFamily,2015,215600.0,1970,19602,1344,1.75,3,01/12/2016,385900,373218,12/30/2016,-656,294842,414272,0,Bothell
38465306,"23528 51st Ave SE",Woodinville,WA,98072,53061,SingleFamily,2015,403500.0,1964,26785,2620,3.0,3,05/11/2016,525000,564128,12/30/2016,1846,535922,592334,0,Woodinville
38465547,"22909 E Echo Lake Rd",Snohomish,WA,98296,53061,SingleFamily,2015,400700.0,1971,51836,1966,2.5,3,08/11/2016,465000,495086,12/30/2016,2741,470332,519840,0,Snohomish
38466378,"23303 44th Ave W","Mountlake Terrace",WA,98043,53061,SingleFamily,2015,333400.0,1980,7405,2412,2.75,5,12/31/2015,383000,451126,12/30/2016,257,428570,473682,0,"Mountlake Terrace"
38466379,"23307 44th Ave W","Mountlake Terrace",WA,98043,53061,SingleFamily,2015,301500.0,1982,8712,2580,3.0,3,11/18/2016,575000,505010,12/30/2016,-9141,479760,540361,0,"Mountlake Terrace"
38466385,"23923 Cedar Way","Mountlake Terrace",WA,98043,53061,SingleFamily,2015,321700.0,1962,17424,1993,2.0,4,12/28/2016,555450,548640,12/30/2016,2412,493776,592531,0,"Mountlake Terrace"
38466419,"23216 53rd Ave SE",Bothell,WA,98021,53061,SingleFamily,2015,401600.0,1974,52272,2700,2.0,3,04/04/2016,543000,617576,12/30/2016,5536,574346,648455,0,Bothell
38466431,"23024 53rd Ave SE",Bothell,WA,98021,53061,SingleFamily,2015,396700.0,1973,43560,2107,2.1,3,09/13/2016,609739,599331,12/30/2016,5281,569364,629298,0,Bothell
38466451,"23414 53rd Ave SE",Bothell,WA,98021,53061,SingleFamily,2015,415500.0,1979,47916,2627,3.0,3,07/11/2016,610000,630452,12/30/2016,3073,598929,661975,0,Bothell
38467209,"1518 228th St SW",Bothell,WA,98021,53061,SingleFamily,2015,319600.0,1994,21780,1840,2.0,3,06/06/2016,449000,470831,12/30/2016,52,447289,499081,0,Bothell
38467214,"1528 231st St SW",Bothell,WA,98021,53061,SingleFamily,2015,301200.0,1958,16117,2616,2.0,3,07/01/2016,300000,575938,12/30/2016,5828,501066,604735,0,Bothell
38467235,"23207 28th Ave W",Brier,WA,98036,53061,SingleFamily,2015,343000.0,1979,11761,2178,3.0,4,09/30/2016,509000,500799,12/30/2016,41,475759,525839,0,Brier
38467238,"23592 24th Ave W",Brier,WA,98036,53061,SingleFamily,2015,310600.0,1983,10890,1760,1.75,4,06/08/2016,370000,408038,12/30/2016,1818,379475,432520,0,Brier
38469308,"3803 225th Pl SW","Mountlake Terrace",WA,98043,53061,SingleFamily,2015,264500.0,1964,8276,1700,2.0,3,06/06/2016,404000,414003,12/30/2016,2657,393303,434703,0,"Mountlake Terrace"
38469324,"3805 226th Pl SW","Mountlake Terrace",WA,98043,53061,SingleFamily,2015,241500.0,1964,8712,1728,1.5,3,12/02/2016,323000,399371,12/30/2016,-6476,359434,427327,0,"Mountlake Terrace"
